id,location_name,emerging,cost_class,country_id,modified_by,state_id,created_by,created_on,modified_on,talent_flag,latitude,longitude
12370,"Borno, Nigeria",Yes,Low Cost,53.0,iris1,6630.0,Yuvraj,2021-12-06 09:55:21.546967,2021-12-06 09:55:21.547010,False,12.1205201,13.1740348
12371,"Coxs Bazar, Bangladesh",Yes,Low Cost,85.0,iris1,545.0,Yuvraj,2021-12-06 09:55:21.720817,2021-12-06 09:55:21.720852,False,21.4272283,92.0058074
12372,"Masvingo, Zimbabwe",Yes,Low Cost,107.0,iris1,6631.0,Yuvraj,2021-12-06 09:55:22.113847,2021-12-06 09:55:22.113885,False,-20.0791909,30.8384093
12403,"Pembroke, Canada Area",No,High Cost,4.0,iris1,40.0,Yuvraj,2021-12-14 08:42:18.258795,2021-12-14 08:42:18.258832,False,45.82665129999999,-77.1108826
7127,"Capital District, Colombia",Yes,Low Cost,28.0,Vigneshwarans,3565.0,saraswathis,2021-03-22 09:43:51.387436,2021-12-17 08:07:37.294463,False,4.710988599999999,-74.072092
1871,"North Sulawesi, Indonesia",Yes,Low Cost,40.0,Yuvraj,693.0,tamilmani,2020-04-13 05:41:40.386451,2021-12-24 06:59:43.678794,False,0.6246932,123.9750018
12436,"Qingzhou, Shandong, China",Yes,Low Cost,5.0,iris1,60.0,Yuvraj,2021-12-24 11:20:04.999434,2021-12-24 11:20:04.999478,False,36.68478899999999,118.479654
12469,"Madhubani Area, India",Yes,Low Cost,10.0,iris1,163.0,Yuvraj,2021-12-28 10:05:46.964818,2021-12-28 10:05:46.964856,False,26.3482938,86.0711661
13096,"Bacabal Area, Brazil",Yes,Low Cost,3.0,iris1,35.0,Yuvraj,2022-04-26 10:58:39.243307,2022-04-26 10:58:39.243360,False,-4.2221443,-44.7855844
12238,"New Sparta, Venezuela",Yes,Low Cost,78.0,iris1,4985.0,Yuvraj,2021-11-20 17:21:03.962215,2021-11-20 17:21:03.962260,False,10.9970723,-63.91132959999999
12239,"Aragua, Venezuel",Yes,Low Cost,78.0,iris1,3750.0,Yuvraj,2021-11-20 17:21:05.043412,2021-11-20 17:21:05.043451,False,10.0635758,-67.2847875
12240,"Delta Amacuro, Venezuela",Yes,Low Cost,78.0,iris1,6531.0,Yuvraj,2021-11-20 17:21:05.448674,2021-11-20 17:21:05.448712,False,8.8499307,-61.14031960000001
11743,Curacao,Yes,Low Cost,172.0,iris1,6300.0,saraswathis,2021-08-19 05:16:23.300095,2021-08-19 05:16:23.300130,False,12.16957,-68.99002
12241,"Lusitania, Colombia",Yes,Low Cost,28.0,iris1,3570.0,Yuvraj,2021-11-20 17:21:06.726747,2021-11-20 17:21:06.726789,False,7.228659999999999,-73.51245999999999
1366,"Saharsa Area, India",Yes,Low Cost,10.0,Yuvraj,163.0,,2019-06-07 19:36:30.206033,2021-12-28 10:05:47.159752,False,25.8789558,86.59975159999999
12470,"Motihari Area, India",Yes,Low Cost,10.0,iris1,163.0,Yuvraj,2021-12-28 10:05:47.264545,2021-12-28 10:05:47.264579,False,26.6438482,84.9040337
12471,"Deoghar Area, India",Yes,Low Cost,10.0,iris1,147.0,Yuvraj,2021-12-28 10:05:47.368186,2021-12-28 10:05:47.368223,False,24.485179,86.694785
12472,"Dahod Area, India",Yes,Low Cost,10.0,iris1,140.0,Yuvraj,2021-12-28 10:05:47.814953,2021-12-28 10:05:47.814997,False,22.8344992,74.26061849999999
12473,"Palanpur Area, India",Yes,Low Cost,10.0,iris1,140.0,Yuvraj,2021-12-28 10:05:47.964288,2021-12-28 10:05:47.964326,False,24.1709942,72.429484
12474,"Nalagarh Area, India",Yes,Low Cost,10.0,iris1,157.0,Yuvraj,2021-12-28 10:05:48.136361,2021-12-28 10:05:48.136397,False,31.0445587,76.70479040000001
12475,"Karwar Area, India",Yes,Low Cost,10.0,iris1,3.0,Yuvraj,2021-12-28 10:05:48.292209,2021-12-28 10:05:48.292244,False,14.8184812,74.1416127
1664,"Patan Area, India",Yes,Low Cost,10.0,Yuvraj,140.0,harini,2019-12-13 11:17:13.808301,2021-12-28 10:05:48.430651,False,23.8500156,72.1210274
13,"Campinas Area, Brazil",Yes,Low Cost,3.0,saraswathis,17.0,,2019-06-07 19:36:30.206033,2021-05-12 11:35:08.851237,False,-22.9329252,-47.073845
12476,"Pasighat Area, India",Yes,Low Cost,10.0,iris1,6663.0,Yuvraj,2021-12-28 10:05:49.461840,2021-12-28 10:05:49.461875,False,28.0618646,95.3259629
12477,"Kharkhoda Area, India",Yes,Low Cost,10.0,iris1,150.0,Yuvraj,2021-12-28 10:05:50.061152,2021-12-28 10:05:50.061186,False,28.8744896,76.9124465
12478,"North Lakhimpur Area, India",Yes,Low Cost,10.0,iris1,155.0,Yuvraj,2021-12-28 10:05:50.289877,2021-12-28 10:05:50.289915,False,27.2253189,94.10533070000001
12479,"Gokak Area, India",Yes,Low Cost,10.0,iris1,3.0,Yuvraj,2021-12-28 10:05:50.424143,2021-12-28 10:05:50.424179,False,16.1591849,74.8156199
25,"Sao Paulo Area, Brazil",Yes,Low Cost,3.0,saraswathis,17.0,,2019-06-07 19:36:30.206033,2021-05-12 11:35:07.589964,False,-23.5505199,-46.63330939999999
12480,"Chhapra Area, India",Yes,Low Cost,10.0,iris1,163.0,Yuvraj,2021-12-28 10:05:50.832751,2021-12-28 10:05:50.832789,False,25.7811397,84.7543413
12481,"Nagaon Area, India",Yes,Low Cost,10.0,iris1,155.0,Yuvraj,2021-12-28 10:05:51.085262,2021-12-28 10:05:51.085300,False,26.348009,92.6838111
12482,"Srikalahasti Area, India",Yes,Low Cost,10.0,iris1,151.0,Yuvraj,2021-12-28 10:05:51.233846,2021-12-28 10:05:51.233884,False,13.7527145,79.7066722
12483,"Kokrajhar Area, India",Yes,Low Cost,10.0,iris1,155.0,Yuvraj,2021-12-28 10:05:51.515962,2021-12-28 10:05:51.515997,False,26.4014362,90.266699
12484,"Tihu Area, India",Yes,Low Cost,10.0,iris1,155.0,Yuvraj,2021-12-28 10:05:53.187320,2021-12-28 10:05:53.187355,False,26.475753,91.2674411
12485,"Gandhidham Area, India",Yes,Low Cost,10.0,iris1,140.0,Yuvraj,2021-12-28 10:05:53.393935,2021-12-28 10:05:53.393991,False,23.075297,70.133673
12634,"Pudukkottai Area, India",Yes,Low Cost,10.0,iris1,142.0,Yuvraj,2022-01-12 06:02:22.789386,2022-01-12 06:02:22.789430,False,10.3832867,78.800129
12667,"Udupi Area, India",Yes,Low Cost,10.0,iris1,3.0,Yuvraj,2022-01-12 09:44:45.753646,2022-01-12 09:44:45.753727,False,13.3408807,74.7421427
13097,"Olinda Area, Brazil",Yes,Low Cost,3.0,iris1,21.0,Yuvraj,2022-04-26 10:58:39.399431,2022-04-26 10:58:39.399479,False,-7.990632100000001,-34.8416598
1864,"East Java, Indonesia",Yes,Low Cost,40.0,Yuvraj,686.0,tamilmani,2020-04-13 05:41:38.678371,2021-12-24 07:01:55.375818,False,-7.5360639,112.2384017
12486,"Honnavar Area, India",Yes,Low Cost,10.0,iris1,3.0,Yuvraj,2021-12-28 10:05:54.179412,2021-12-28 10:05:54.179448,False,14.2797502,74.4439252
12487,"Tenali Area, India",Yes,Low Cost,10.0,iris1,151.0,Yuvraj,2021-12-28 10:05:54.296270,2021-12-28 10:05:54.296306,False,16.237933,80.6444099
12488,"Navsari Area, India",Yes,Low Cost,10.0,iris1,140.0,Yuvraj,2021-12-28 10:05:54.432009,2021-12-28 10:05:54.432049,False,20.9467019,72.95203479999999
12489,"Siwan Area, India",Yes,Low Cost,10.0,iris1,163.0,Yuvraj,2021-12-28 10:05:54.595263,2021-12-28 10:05:54.595298,False,26.1689087,84.3962535
12490,"Purnia Area, India",Yes,Low Cost,10.0,iris1,163.0,Yuvraj,2021-12-28 10:05:54.734672,2021-12-28 10:05:54.734708,False,25.7771391,87.4752551
12502,"Lucas do Rio Verde Area, Brazil",Yes,Low Cost,3.0,iris1,501.0,Yuvraj,2021-12-28 10:57:39.564654,2021-12-28 10:57:39.564689,False,-13.0764296,-55.9093949
12535,"Kapilvastu, Nepal",Yes,Low Cost,169.0,iris1,4716.0,Yuvraj,2021-12-28 11:45:08.416144,2021-12-28 11:45:08.416190,False,27.6541877,82.99316069999999
12537,"Narok, Kenya",Yes,Low Cost,44.0,iris1,6697.0,Yuvraj,2021-12-28 11:45:09.087166,2021-12-28 11:45:09.087203,False,-1.0875428,35.87706420000001
12538,"Rautahat District, Nepal",Yes,Low Cost,169.0,iris1,6698.0,Yuvraj,2021-12-28 11:45:09.400557,2021-12-28 11:45:09.400593,False,26.9547303,85.31362179999999
12539,"Sainyabuli, Laos",Yes,Low Cost,135.0,iris1,6699.0,Yuvraj,2021-12-28 11:45:10.556603,2021-12-28 11:45:10.556639,False,19.1945799,101.483498
12540,"Taraba, Nigeria",Yes,Low Cost,53.0,iris1,6700.0,Yuvraj,2021-12-28 11:45:11.088025,2021-12-28 11:45:11.088067,False,8.0054917,10.2600125
12541,"Zamfara, Nigeria",Yes,Low Cost,53.0,iris1,6701.0,Yuvraj,2021-12-28 11:45:11.405010,2021-12-28 11:45:11.405045,False,12.1844159,6.2375947
1392,"Chandrapur Area, India",Yes,Low Cost,10.0,Yuvraj,1.0,,2019-06-07 19:36:30.206033,2022-01-05 11:14:58.370253,False,19.9615398,79.2961468
12568,"Batala Area, India",Yes,Low Cost,10.0,iris1,161.0,Yuvraj,2022-01-05 11:14:58.601432,2022-01-05 11:14:58.601481,False,31.8195248,75.20358759999999
1491,"Satna Area, India",Yes,Low Cost,10.0,Yuvraj,146.0,,2019-06-07 19:36:30.206033,2022-01-05 11:14:58.802168,False,24.6005075,80.8322428
12569,"Etawah Area, India",Yes,Low Cost,10.0,iris1,148.0,Yuvraj,2022-01-05 11:14:59.340282,2022-01-05 11:14:59.340338,False,26.7829103,79.027659
88,"District Decin, Czechia",Yes,Low Cost,6.0,iris1,82.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:24.961710,False,50.7725563,14.2127612
89,"District Hradec Kralove, Czechia",Yes,Low Cost,6.0,iris1,83.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:25.043777,False,50.2103605,15.825211
12570,"Firozpur Area, India",Yes,Low Cost,10.0,iris1,161.0,Yuvraj,2022-01-05 11:14:59.503528,2022-01-05 11:14:59.503582,False,30.9331348,74.6224755
92,"District Louny, Czechia",Yes,Low Cost,6.0,iris1,82.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:25.219971,False,50.353984,13.8033656
12571,"Jalpaiguri Area, India",Yes,Low Cost,10.0,iris1,2.0,Yuvraj,2022-01-05 11:14:59.607600,2022-01-05 11:14:59.607655,False,26.5214579,88.7195567
1515,"Shillong Area, India",Yes,Low Cost,10.0,Yuvraj,490.0,,2019-06-07 19:36:30.206033,2022-01-05 11:14:59.705009,False,25.5787726,91.8932535
1442,"Haldwani Area, India",Yes,Low Cost,10.0,Yuvraj,159.0,,2019-06-07 19:36:30.206033,2022-01-05 11:14:59.809349,False,29.2182644,79.5129767
98,"District Plzen-City, Czechia",Yes,Low Cost,6.0,iris1,517.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:25.543298,False,49.7384314,13.3736371
100,"District Nachod, Czechia",Yes,Low Cost,6.0,iris1,83.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:25.667851,False,50.492006,16.1536816
101,"District Trutnov, Czechia",Yes,Low Cost,6.0,iris1,83.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:25.718270,False,50.5553288,15.8546925
1312,"Dimapur Area, India",Yes,Low Cost,10.0,Yuvraj,166.0,,2019-06-07 19:36:30.206033,2022-01-05 11:14:59.917415,False,25.9091406,93.72656049999999
6992,"Ranebennur Area, India",Yes,Low Cost,10.0,iris1,3.0,saraswathis,2021-03-16 11:59:14.555251,2021-03-16 11:59:14.555329,False,14.615399,75.6288239
12572,"Kotdwar Area, India",Yes,Low Cost,10.0,iris1,159.0,Yuvraj,2022-01-05 11:15:01.417006,2022-01-05 11:15:01.417051,False,29.7524013,78.5269027
12573,"Ratlam Area, India",Yes,Low Cost,10.0,iris1,146.0,Yuvraj,2022-01-05 11:15:01.793417,2022-01-05 11:15:01.793471,False,23.3315103,75.0366677
12602,"Appenzell Area, Switzerland",No,High Cost,66.0,iris1,6729.0,Yuvraj,2022-01-06 11:15:46.218770,2022-01-06 11:15:46.218817,False,47.33493199999999,9.406594
12700,"Shikohabad Area, India",Yes,Low Cost,10.0,iris1,148.0,Yuvraj,2022-01-17 11:29:56.168385,2022-01-17 11:29:56.168432,False,27.1046449,78.58701119999999
12701,"Seoni Area, India",Yes,Low Cost,10.0,iris1,146.0,Yuvraj,2022-01-17 11:29:56.292113,2022-01-17 11:29:56.292164,False,22.0868691,79.5434841
111,"Auvergne, France",No,High Cost,8.0,iris1,114.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:29.512049,False,45.7032695,3.3448536
12702,"Barshi Area, India",Yes,Low Cost,10.0,iris1,1.0,Yuvraj,2022-01-17 11:29:56.849728,2022-01-17 11:29:56.849779,False,18.2333856,75.6941478
12703,"Cooch Behar Area, India",Yes,Low Cost,10.0,iris1,2.0,Yuvraj,2022-01-17 11:29:56.949051,2022-01-17 11:29:56.949098,False,26.3356861,89.44585099999999
12704,"Khargone Area, India",Yes,Low Cost,10.0,iris1,146.0,Yuvraj,2022-01-17 11:29:57.473035,2022-01-17 11:29:57.473085,False,21.8335244,75.61498929999999
12705,"Karanja Area, India",Yes,Low Cost,10.0,iris1,1.0,Yuvraj,2022-01-17 11:29:57.776368,2022-01-17 11:29:57.776425,False,20.4827357,77.4816693
10458,"Huaihua, China",Yes,Low Cost,5.0,iris1,50.0,saraswathis,2021-06-08 10:43:48.768963,2021-06-08 10:43:48.769013,False,27.569517,110.001922
119,"Chambery Area, France",No,High Cost,8.0,parvathavarthini,114.0,,2019-06-07 19:36:30.206033,2020-09-04 11:58:25.016687,False,45.564601,5.917781
12706,"West Garo Hills Area, India",Yes,Low Cost,10.0,iris1,490.0,Yuvraj,2022-01-17 11:29:58.693455,2022-01-17 11:29:58.693514,False,25.5679372,90.2244662
123,"Grenoble Area, France",No,High Cost,8.0,harini,114.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:30.175900,False,45.188529,5.724524
12707,"Malda Area, India",Yes,Low Cost,10.0,iris1,2.0,Yuvraj,2022-01-17 11:29:58.990561,2022-01-17 11:29:58.990620,False,25.1785773,88.24611829999999
121,"Clermont-Ferrand Area, France",No,High Cost,8.0,saraswathis,114.0,,2019-06-07 19:36:30.206033,2020-12-15 12:18:16.490186,False,45.77722199999999,3.087025
112,"Besancon Area, France",No,High Cost,8.0,saraswathis,115.0,,2019-06-07 19:36:30.206033,2021-02-09 08:04:02.305678,False,47.237829,6.024053899999999
12733,"Aakkar, Lebanon",Yes,Low Cost,86.0,iris1,6270.0,Yuvraj,2022-01-20 09:45:00.915145,2022-01-20 09:45:00.915205,False,34.544034,36.07983
12734,"Beqaa, Lebanon",Yes,Low Cost,86.0,iris1,6762.0,Yuvraj,2022-01-20 09:45:01.325222,2022-01-20 09:45:01.325274,False,33.8462662,35.9019489
12735,"Keserwan, Lebanon",Yes,Low Cost,86.0,iris1,4123.0,Yuvraj,2022-01-20 09:45:01.975055,2022-01-20 09:45:01.975111,False,33.9843234,35.634349
12736,"Nabatieh, Lebanon",Yes,Low Cost,86.0,iris1,6763.0,Yuvraj,2022-01-20 09:45:02.769977,2022-01-20 09:45:02.770035,False,33.3771898,35.4835902
12737,"North, Lebanon",Yes,Low Cost,86.0,iris1,6270.0,Yuvraj,2022-01-20 09:45:03.232023,2022-01-20 09:45:03.232091,False,34.4380625,35.8308233
12738,"Northern, Lebanon",Yes,Low Cost,86.0,iris1,6764.0,Yuvraj,2022-01-20 09:45:04.269884,2022-01-20 09:45:04.269936,False,40.4467679,-76.5025742
12739,"South, Lebanon",Yes,Low Cost,86.0,iris1,6765.0,Yuvraj,2022-01-20 09:45:04.383623,2022-01-20 09:45:04.383679,False,39.3708927,-84.21326979999999
1951,"Akita, Japan",Yes,Low Cost,43.0,Yuvraj,769.0,tamilmani,2020-04-13 05:42:10.214014,2022-02-04 06:00:18.994302,False,39.7199668,140.1034795
1939,"Aomori, Japan",Yes,Low Cost,43.0,Yuvraj,757.0,tamilmani,2020-04-13 05:42:02.836100,2022-02-04 06:00:19.263817,False,40.8222197,140.7473524
129,"Marseille Area, France",No,High Cost,8.0,saraswathis,121.0,,2019-06-07 19:36:30.206033,2019-12-03 11:01:56.679395,False,43.296482,5.36978
1919,"Fukuoka, Japan",Yes,Low Cost,43.0,Yuvraj,737.0,tamilmani,2020-04-13 05:41:52.678289,2022-02-04 06:00:19.461184,False,33.5901838,130.4016888
133,"Nice Area, France",No,High Cost,8.0,harini,121.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:30.811604,False,43.7101728,7.2619532
13098,"Paulo Afonso Area, Brazil",Yes,Low Cost,3.0,iris1,23.0,Yuvraj,2022-04-26 10:58:39.746650,2022-04-26 10:58:39.746698,False,-9.587491600000002,-38.4008357
12931,"Vechta Area, Germany",No,High Cost,9.0,iris1,126.0,Yuvraj,2022-03-21 05:39:36.353761,2022-03-21 05:39:36.353817,False,52.72922519999999,8.2838762
12799,"Rheine Area, Germany",No,High Cost,9.0,iris1,125.0,Yuvraj,2022-02-18 12:27:10.229311,2022-02-18 12:27:10.229367,False,52.2815691,7.443409099999999
139,"Rhone-Alpes, France",No,High Cost,8.0,harini,114.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:31.192308,False,45.1695797,5.4502821
12766,"Oromia, Ethiopia",Yes,Low Cost,110.0,iris1,6795.0,Yuvraj,2022-02-10 11:28:10.850876,2022-02-10 11:28:10.850929,False,7.546037699999999,40.6346851
12767,"Campbeltown, United Kingdom",No,High Cost,19.0,iris1,294.0,Yuvraj,2022-02-10 11:28:11.836431,2022-02-10 11:28:11.836489,False,55.424117,-5.605373999999999
142,"Saint-Etienne Area, France",No,High Cost,8.0,parvathavarthini,114.0,,2019-06-07 19:36:30.206033,2020-07-20 12:30:39.160365,False,45.439695,4.3871779
12768,"Lerwick, United Kingdom",No,High Cost,19.0,iris1,294.0,Yuvraj,2022-02-10 11:28:12.164826,2022-02-10 11:28:12.164874,False,60.1529871,-1.1492931
12769,"Stornoway, United Kingdom",No,High Cost,19.0,iris1,294.0,Yuvraj,2022-02-10 11:28:13.482138,2022-02-10 11:28:13.482184,False,58.209435,-6.3848692
12800,"Unna Area, Germany",No,High Cost,9.0,iris1,125.0,Yuvraj,2022-02-18 12:27:10.356521,2022-02-18 12:27:10.356573,False,51.5426349,7.685311400000001
146,"Provence-Alpes-Cote d'Azur, France",No,High Cost,8.0,iris1,121.0,,2019-06-07 19:36:30.206033,2019-11-20 16:17:31.659199,False,43.9351691,6.0679194
12801,"Recklinghausen Area, Germany",No,High Cost,9.0,iris1,125.0,Yuvraj,2022-02-18 12:27:10.653996,2022-02-18 12:27:10.654045,False,51.6140649,7.1979453
12832,"Caceres Area, Brazil",Yes,Low Cost,3.0,iris1,501.0,Yuvraj,2022-02-21 13:08:18.873759,2022-02-21 13:08:18.873813,False,-16.0873856,-57.6754995
10459,"Shaoyang, China",Yes,Low Cost,5.0,iris1,50.0,saraswathis,2021-06-08 10:43:49.219885,2021-06-08 10:43:49.219935,False,27.23895,111.467674
7028,"Bankura Area, India",Yes,Low Cost,10.0,iris1,2.0,saraswathis,2021-03-18 11:15:59.855999,2021-03-18 11:15:59.856146,False,23.2312686,87.07838749999999
7029,"Baripada Area, India",Yes,Low Cost,10.0,iris1,154.0,saraswathis,2021-03-18 11:16:00.010711,2021-03-18 11:16:00.010780,False,21.9322338,86.7516942
1915,"Kanagawa, Japan",Yes,Low Cost,43.0,Yuvraj,733.0,tamilmani,2020-04-13 05:41:51.867023,2022-02-24 05:58:27.043220,False,35.4913535,139.284143
12833,"Ouro Preto Area, Brazil",Yes,Low Cost,3.0,iris1,14.0,Yuvraj,2022-02-21 13:08:19.285989,2022-02-21 13:08:19.286045,False,-20.3855743,-43.5035777
12834,"Feira de Santana Area, Brazil",Yes,Low Cost,3.0,iris1,23.0,Yuvraj,2022-02-21 13:08:19.468549,2022-02-21 13:08:19.468595,False,-12.2535848,-38.9600762
7030,"Bauchi, Nigeria",Yes,Low Cost,53.0,iris1,3465.0,saraswathis,2021-03-18 11:16:00.213418,2021-03-18 11:16:00.213485,False,10.3009641,9.8236533
12835,"Dourados Area, Brazil",Yes,Low Cost,3.0,iris1,32.0,Yuvraj,2022-02-21 13:08:19.891115,2022-02-21 13:08:19.891163,False,-22.2272034,-54.82912589999999
11776,"Salah Ad Din, Iraq",No,High Cost,102.0,iris1,4840.0,Yuvraj,2021-08-25 04:36:45.111769,2021-08-25 04:36:45.111810,False,34.5337527,43.483738
12836,"Indaial Area, Brazil",Yes,Low Cost,3.0,iris1,15.0,Yuvraj,2022-02-21 13:08:21.255442,2022-02-21 13:08:21.255497,False,-26.8977448,-49.2363217
12837,"Duque de Caxias Area, Brazil",Yes,Low Cost,3.0,iris1,22.0,Yuvraj,2022-02-21 13:08:21.410894,2022-02-21 13:08:21.410938,False,-22.7862985,-43.3053106
7027,"Edo, Nigeria",Yes,Low Cost,53.0,saraswathis,3464.0,saraswathis,2021-03-18 11:15:59.704545,2021-03-18 11:16:00.457141,False,6.5438101,5.898713900000001
12838,"Macapa Area, Brazil",Yes,Low Cost,3.0,iris1,6828.0,Yuvraj,2022-02-21 13:08:21.760447,2022-02-21 13:08:21.760489,False,0.0355735,-51.070535
12839,"Rio Branco Area, Brazil",Yes,Low Cost,3.0,iris1,6829.0,Yuvraj,2022-02-21 13:08:22.246228,2022-02-21 13:08:22.246281,False,-9.975337399999999,-68.42932139999999
12840,"Pato Branco Area, Brazil",Yes,Low Cost,3.0,iris1,18.0,Yuvraj,2022-02-21 13:08:22.624725,2022-02-21 13:08:22.624774,False,-26.2297202,-52.6711356
12841,"Governador Valadares Area, Brazil",Yes,Low Cost,3.0,iris1,14.0,Yuvraj,2022-02-21 13:08:22.858395,2022-02-21 13:08:22.858443,False,-18.8547986,-41.9589601
12842,"Barreiras Area, Brazil",Yes,Low Cost,3.0,iris1,23.0,Yuvraj,2022-02-21 13:08:23.243300,2022-02-21 13:08:23.243343,False,-12.1477483,-44.9953475
12843,"Bage Area, Brazil",Yes,Low Cost,3.0,iris1,20.0,Yuvraj,2022-02-21 13:08:24.171140,2022-02-21 13:08:24.171191,False,-31.3332251,-54.1065079
177,"Mannheim Area, Germany",No,High Cost,9.0,parvathavarthini,131.0,,2019-06-07 19:36:30.206033,2020-07-20 12:30:39.066195,False,49.4874592,8.4660395
12844,"Joacaba Area, Brazil",Yes,Low Cost,3.0,iris1,15.0,Yuvraj,2022-02-21 13:08:24.931076,2022-02-21 13:08:24.931124,False,-27.1743773,-51.5054475
14,"Curitiba Area, Brazil",Yes,Low Cost,3.0,Yuvraj,18.0,,2019-06-07 19:36:30.206033,2022-02-21 13:08:25.149456,False,-25.4808762,-49.3044253
7031,"Jagdalpur Area, India",Yes,Low Cost,10.0,iris1,153.0,saraswathis,2021-03-18 11:16:01.251104,2021-03-18 11:16:01.251169,False,19.0829394,82.0150401
12845,"Catanduva Area, Brazil",Yes,Low Cost,3.0,iris1,17.0,Yuvraj,2022-02-21 13:08:25.409380,2022-02-21 13:08:25.409427,False,-21.1312077,-48.9777194
7032,"Katsina, Nigeria",Yes,Low Cost,53.0,iris1,3466.0,saraswathis,2021-03-18 11:16:01.499601,2021-03-18 11:16:01.499664,False,12.9815608,7.622266499999999
12846,"Marilia Area, Brazil",Yes,Low Cost,3.0,iris1,17.0,Yuvraj,2022-02-21 13:08:25.768132,2022-02-21 13:08:25.768178,False,-22.2175825,-49.95052150000001
128,"Lyon Area, France",No,High Cost,8.0,saraswathis,114.0,,2019-06-07 19:36:30.206033,2020-10-23 11:25:25.247524,False,45.764043,4.835659
11809,"Barrie, Canada Area",No,High Cost,4.0,iris1,40.0,Yuvraj,2021-08-25 04:59:21.400621,2021-08-25 04:59:21.400657,False,44.38935559999999,-79.6903316
12847,"Sobral Area, Brazil",Yes,Low Cost,3.0,iris1,26.0,Yuvraj,2022-02-21 13:08:26.269192,2022-02-21 13:08:26.269237,False,-3.6895919,-40.3485423
