"S.No.","is_soft_skill","is_behavioral_skill","synon_skill","skill_cluster","skill_description","skill_keyword","skill_type","digital_product"
"14","False","False","Clinical Study Report","Clinical Research and Development","Clinical Study Reports is a critical documents that describe the methodology and results of a clinical trial in drug development.","clinical study report","",""
"15","False","False","Culverts","","Culvert is a structure that allows water to flow under a road, railroad, trail, or similar obstruction from one side to the other.","","",""
"16","False","False","Hardware In the Loop (HIL)","Electronic Systems Design","Hardware-in-the-loop (HIL) is a technique for developing and testing real-time embedded systems, as well as providing a platform by increasing the complexity of the plant under management.Hardware-in-the-loop (HIL) is a technique for developing and testing real-time embedded systems, as well as providing a platform by increasing the complexity of the plant under management.","hardware-in-the-loop;hardware in the loop","",""
"17","False","False","Instructional Design","Systems Design Tools","Instructional Design is the production of learning experiences and resources that result in the acquisition and application of information and skills.","instructional design;instructional systems design","",""
"18","False","False","Insurance Management","Insurance Skills","Insurance Management is the management that refers to insurance brokers and providers, as well as the insurance products they supply to customers.","insurance management;insurance risk management","",""
"19","False","False","Intelligent Platform Management Interface (IPMI)","Systems Engineering & Administration","Intelligent Platform Management Interface (IPMI) is a set of computer interface specifications for an autonomous computer subsystem that provides management and monitoring capabilities.","intelligent platform management interface","",""
"20","False","False","Operating Systems","Operating Systems","Operating Systems are system software that manages computer hardware and software resources, as well as providing functions to computer programmes.","operating system (os);operating system","",""
"21","False","False","Sender Policy Framework (SPF)","Network Management & Administration","Sender Policy Framework (SPF) is an email authentication method designed to detect forging sender addresses during the delivery of the email.","sender policy framework","",""
"22","False","False","Sqlcmd","Database Skills","Sqlcmd is a command-line programme that allows for the ad hoc, interactive execution of transact-structured query language statements and scripts, as well as the automation of its operations.","sqlcmd;sql cmd","",""
"23","False","False","Test Automation","Software Quality/Testing","Test Automation is the technique of automatically executing tests, organising test data, and leveraging test findings to enhance software quality.","qa automation ;test automation;automation testing","",""
"24","False","False","Virtual Telecommunications Access Method (VTAM)","Software Development","Virtual Telecommunications Access Method (VTAM) is an API provider for communication applications, and controls communication equipment.","virtual telecommunications access method","",""
"25","False","False","XWays","Cybersecurity","XWays is a work environment for computer forensic investigators that includes tools for computer forensics, electronic discovery, data recovery, low-level data processing, and information technology.","x-ways;x ways;xways","",""
"26","False","False","Abaqus","Computer-Aided Design and Simulation","Abaqus is a finite element analysis and computer-aided engineering software suite that is used for modelling and analysis of mechanical components and assemblies.Abaqus is a finite element analysis and computer-aided engineering software suite that is used for modelling and analysis of mechanical components and assemblies.","abaqus unified fea;simulia abaqus;fea abaqus;abaqus","",""
"27","False","False","Animation","Graphic Design and Animation","Animation is the process of manipulating figures to make them appear to move. It is the art of bringing lifeless objects, such as drawn or 3 dimensional created characters, to life.","3d animation;design animation;animation;3d character animation;skeletal animation","",""
"28","False","False","AutoIT","Programming Languages and Algorithms","AutoIt is a scripting language designed for automating the windows graphical user interface and general scripting, it is used to verify software quality and compare the actual result to the projected result","autoit;autoitv3;autoit v3","",""
"29","False","False","Biotherapeutics","Clinical Research and Development","Biotherapeutics is a discipline that encompasses biologically generated therapeutic materials such as recombinant deoxyribonucleic acid technology.","biotherapeutics","",""
"30","False","False","Cloud Development","Cloud Deployment, Scaling And Management","Cloud Development is the implementation of cloud architecture planning, organisation and design to cloud delivery model and structuring.","cloud development","",""
"31","False","False","System Architecture","Systems Engineering & Administration","System Architecture is the conceptual model that defines the structure, behaviour and more views of a system.","system architecture;systems architectures","",""
"32","False","False","Ensemble Software","AI/ML","Ensemble Software refers to the programming approaches and tools used for integrated application development that may span interfaces and devices.","ensemble","",""
"33","False","False","Enterprise Security Manager (ESM)","Data Engineering And Analytics","ArcSight Enterprise Security Manager (ESM) is an enterprise security management software that provides big data analytics approach to enterprise security by translating data into actionable intelligence.","enterprise security manager","",""
"34","False","False","Microsoft Exchange","Software Development","Microsoft Exchange is an email server that runs on windows server operating systems and works with web-based mail clients such as microsoft outlook, which can connect to and manage email from a sources.","microsoft exchange","",""
"35","False","False","NetBeans","Java & Associated IDEs & Frameworks","NetBeans is an open source integrated development environment for developing java online, business, desktop, and mobile applications.","netbeans;apache netbeans;net beans","",""
"36","False","False","Omniture","Marketing & Web Analytics","Omniture also known as adobe analytics is online marketing and web analytics to sift, sort, and share data in real time.","omniture;adobe omniture","",""
"37","False","False","OpenEdge","Software Development","OpenEdge is a development platform for creating dynamic multi-language apps that can be deployed securely on any platform, mobile device, or cloud.","openedge","",""
"38","False","False","Risk Analysis","Project Management","Risk Analysis is the process of assessing the likelihood of an adverse event occurring in an environment.","analyze risk;finding risk;risk finding;risk assess","",""
"39","False","False","PanelView","IoT &Industrial Automation","PanelView lets user to monitor, control and display application status information graphically.","panelview","",""
"40","False","False","Real Time Messaging Protocol (RTMP)","Network Management & Administration","Real Time Messaging Protocol (RTMP) is a technology that enables high-speed audio, video, and data sharing among adobe flash platform technologies.","rtmp;real time messaging protocol","",""
"41","False","False","Safety Compliance","Environment, Health and Safety (EHS)","Safety Compliance is the act of conforming to safety guidelines established by regulatory organisations and lawmakers.Safety Compliance is the act of conforming to safety guidelines established by regulatory organisations and lawmakers.","safety compliance","",""
"42","False","False","Risk Assessment","Environment, Health and Safety (EHS)","Risk Assessment is a systematic method of identifying risks and analyzing the possible impact of each risk.","suppliers risk assessment;risk assessments;riskassessment;safety risk assessments;legal risk assessment;prison risk assessment;technical risk assessment;risk assesments;risk assessment;client risk assessment","",""
"43","False","False","AnthillPro","Software Development","AnthillPro is an continuous integration solution that automates the process of integrating code into software projects.","anthillpro;anthill pro","",""
"44","False","False","Calibration","Functional Skills","Calibration is the process of configuring an instrument to provide a result for a sample within an acceptable range.","calibration;instrument calibration;cmm calibration;equipment calibration;calibrations","",""
"45","False","False","Core Animation","Graphic Design and Animation","Core Animation is an animation graphics compositing framework that allows to create animated user interfaces with frame rates and animations and also to create complicated animations for an applications.","core animation","",""
"46","False","False","Design Analysis","Programming Skills","Design Analysis is a decision-making process that employs analytical techniques derived from basic sciences, mathematics, statistics, and engineering basics to create a product model that can be translated into a real product.","design analysis","",""
"47","False","False","Electronic Data Interchange for Administration Commerce and Transport (EDIFACT)","Aerospace Engineering","Electronic Data Interchange for Administration Commerce and Transport (EDIFACT) is an international standard for electronic data interchange. It describes the format data and standard messages for cross-industry and cross-country sharing.","edifact;electronic data interchange for administration commerce and transport","",""
"48","False","False","Functional Design","Systems Design Tools","Functional Design is a phase of any development project that focuses primarily on the actions or performance of the new or altered product, service, or process.","functional design","",""
"49","False","False","Oncology","Clinical Research and Development","Oncology is a branch of medicine that deals with the prevention, diagnosis, and treatment of tumours and cancers.","surgical oncology;immuno oncology research;immuno oncology discovery;clinical oncology;oncology","",""
"50","False","False","Inferential Statistics","Data Engineering And Analytics","Inferential Statistics is a field of statistics that use an analytical procedures to draw conclusions about population data from sample data.","inferential statistics;statistical inference","",""
"51","False","False","Interactive System Productivity Facility (ISPF)","Software Development","Interactive System Productivity Facility (ISPF) is a software product that includes user interface of a screen editor, menus and dialogs to run the tools on time sharing option.","interactive system productivity facility","",""
"52","False","False","JDeveloper","Java & Associated IDEs & Frameworks","JDeveloper is an integrated development environment that simplifies the development of java-based applications addressing step of the application lifecycle.","oracle jdeveloper;jdeveloper;j developer","",""
"53","False","False","JavaScript Object Notation (JSON)","JavaScript & Associated Libraries","JavaScript Object Notation (JSON) is an open standard file format and text-based data communication format for storing and transmitting data objects used by current computer languages.","java script object notation;javascript object notation","",""
"54","False","False","Model Based Definition (MBD)","Computer-Aided Design and Simulation","Model Based Definition (MBD) is a mechanical engineering initiative where a 3 dimension model with manufacturing information augments or replaces a 2 dimensions engineering drawing as design documentation.","model based definition;model-based definition","",""
"55","False","False","MooTools","JavaScript & Associated Libraries","MooTools is an object-oriented javascript framework designed for the developer that enables adding, modifying, choosing, and removing document object model elements.","mootools;moo tools","",""
"56","False","False","Portfolio Analysis","Asset Management","Portfolio Analysis is the process by which an existing financial portfolio is reviewed to determine whether the current allocation achieves the investor's financial goals without taking unnecessary capital risks.","portfolio analysis;analysis portfolio","",""
"57","False","False","PowerPivot","Data Engineering And Analytics","PowerPivot is a Microsoft Excel feature that is used for powerful data analysis from a large volumes of data and create sophisticated data models.","power pivot;powerpivot","",""
"58","False","False","Project Support","Project Management","Project Support is an activity of supporting the project that can be anything from advice and assistance to administrative services.","project support","",""
"59","False","False","QuarkXpress","Graphic Design and Animation","QuarkXPress is a desktop publishing software for creating and editing complex page layouts and runs on macintosh operating system and windows.","quarkxpress;quark xpress","",""
"60","False","False","Sencha","JavaScript & Associated Libraries","Sencha is a platform to design, develop, and test cross-platform apps built with HTML5 and web standards.","sencha;sencha software","",""
"61","False","False","Sequence Diagrams","Systems Engineering & Administration","Sequence Diagrams is a group of time-focused interaction diagrams that visually shows how the operations are carried out in a certain process.","sequence diagrams;sequencediagram","",""
"62","False","False","Data Analysis","Data Engineering And Analytics","Data Analysis is a process of analysing, transforming and modeling data with the goal of discovering information, inferences and decision-making.","data analysis;data analyzation","",""
"63","False","False","TestPartner","Software Quality/Testing","TestPartner is a software testing tool that enables software development project teams to functionally automate and test application.","testpartner;test partner","",""
"64","False","False","TestRail","Software Quality/Testing","TestRail is web-based test management tool used by testers and developers to manage, track and organize software testing efforts.","testrail;testcase testrail;test rail","",""
"65","False","False","Vertica","Database Skills","Vertica is a software-as-a-service provider that provides a perfomed analytics and machine learning platform in amazon web services cloud account.","vertica;hp vertica;hpvertica","",""
"66","False","False","WireMock","Software Development","WireMock is a library for stubbing and mocking web services virtualization tool that produces results when an application programming interface does not exist.","wiremock","",""
"67","False","False","wxWidgets","UI/UX","wxWidgets is a c++ based library that helps developers to develop applications for windows, macintosh operating system, linux and others with a single code base.","wxwidgets","",""
"68","False","False","Adobe Analytics","Business Management","Adobe Analytics is a solution for applying real-time analytics for marketing channels that discover audiences and customer intelligence.","adobe analytics","",""
"69","False","False","AutoCAD","Computer-Aided Design and Simulation","AutoCAD is a computer-aided design and drawing programme. It is capable of producing 2d drawings and simulations, as well as electrical diagrams, building plans, and other documents.","autodesk autocad;autocad","",""
"70","False","False","Basic TEradata Query (BTEQ)","Database Skills","Basic TEradata Query (BTEQ) is a general purpose, command driven utility that enables user to interact with one or more Teradata Database Systems.","basic teradata query","",""
"71","False","False","E2E Implementation","Project Management","E2E Implementation refers to the project execution process, which includes phrases such as project planning, blueprint, realisation, finalisation, go-live, and support.","e2e implementation;end to end implementation","",""
"72","False","False","Factorytalk","UI/UX","Factorytalk is an industrial automation software built for supporting an ecosystem of industrial applications, including internet of things.","factorytalk;factory talk","",""
"73","False","False","FastLoad","Database Skills","FastLoad is a teradata utility which is used to load volumes of data from the client to an empty table of teradata database system.","fastload;fast load;teradata fastload","",""
"74","False","False","Financial Statement Analysis","Financial Analysis","Financial Statement Analysis is the process of analyzing a company's financial statement for decision making and also determines the overall health of the organisation.","financial statement analysis","",""
"75","False","False","Integration Testing","Software Quality/Testing","Integration testing is the stage of software testing in which individual software modules are joined and assessed as a group.","integration testing;hardware integration testing;test integration","",""
"76","False","False","Identity Federation","Cloud Deployment, Scaling And Management","Identity Federation is the delegation of an individuals or organization's authentication responsibility to a trusted external party.","identity federation","",""
"77","False","False","Network Infrastructure Security","Network Security","Network Infrastructure Security is a service that provides security and protection to the resources that enable network connectivity, communication and management.","network infrastructure security;security network infrastructure","",""
"78","False","False","Regulatory Reporting","Governance Risk & Compliance","Regulatory Reporting is the submission of the summary report to regulators to evaluate a bank's operation and its overall health.","regulatory reporting;regulatory report","",""
"79","False","False","Solaris","Operating Systems","Oracle Solaris is an enterprise operating system for oracle database and java applications and offers in data management with a approach to data integrity, near-zero administration, and a welcome integration of file system and volume management capabilities.","solaris;oracle solaris","",""
"80","False","False","SQLite","Database Skills","SQLite is a relational database management system contained in a C library and the lite in the name signifies lightweight in terms of setup, administration and resources.","sqlite;sqllite","",""
"81","False","False","Stata","Statistical & Mathematical Modelling","Stata is a statistical software that enables users to analyze, manage, and produce graphical visualizations of data.","stata","",""
"82","False","False","Financial Planning","Financial Analysis","Financial Planning is the process of predicting the individual's present pay and future financial situation that forecasts future income, asset values, and withdrawal plans using current known factors.","financial planning","",""
"83","False","False","Signal Processing","Signal Processing","Signal Processing is a field of electrical engineering that involves the processes of analysing, modifying, and smoothing signals such as sound, images and scientific measurements.","signal processing","",""
"84","False","False","Waste Management","Healthcare","Waste Management is the collection, transport, processing, recycling and disposal of waste materials produced by human activity.","waste management;waste assessment;waste life cycle","",""
"85","False","False","Web Analytics","Marketing & Web Analytics","Web Analytics is the assessment, compilation, study, and reporting of web data in order to understand and improve web use.","web analytics","",""
"86","False","False","WinForms","UI/UX","WinForms is a user interface framework for creating windows desktop applications which provides productive ways to develop desktop programmes using the visuual studio visual designer.","win form;winform;winforms;windows forms","",""
"87","False","False","Business Data Analysis","Business Management","Business Data Analysis is the practice for assisting activities of managers in making strategic decisions, solve complex problems and achieve major goals by using a data driven approach","business data analysis;business data analytics","",""
"88","False","False","Business Readiness","Business Management","Business Readiness is a term used to describe the process of regulating business transition by ensuring employees and management teams that move from one mindset or environment to another in a safe manner.","business readiness","",""
"89","False","False","ECMAScript 6 (ES6)","Programming Languages and Algorithms","ECMAScript 6 (ES6) is a series of scripting languages that include classes and variables to standardize javascript.","ecmascript 6 (es6)","",""
"90","False","False","Kana","Customer Relationship Management Systems","Kana Software is a customer support system that enables businesses to deliver consistent, controlled service across all channels, such as email, chat, call centres, and web self-help.","kana software","",""
"91","False","False","Personnel Administration","Human Resource Operations ","Personnel Administration is an administrative activity that provides personnel for organizational operations and manages the overall employee-employer relationship.","personnel administration","",""
"92","False","False","Proficy","IoT &Industrial Automation","Proficy is a software which can be used to visualize, control, analyze and optimize production data across operations.","proficy software","",""
"93","False","False","System Administration","Systems Engineering & Administration","System Administration is a work of overseeing one or more systems, such as software, hardware, servers, or workstations.","system administration;systems administration;system adminstration","",""
"94","False","False","Tomcat","Web Server","Apache Tomcat is a web application server that uses java server page code to generate web pages and run java servlets.","apache tomcat deployment;tomcat;apache tomcat","",""
"95","False","False","Variable Frequency Drives","Electronic Systems Design","Variable Frequency Drives (VFD) or adjustable-frequency drive is a type of motor drive that uses varying motor input frequency and voltage to control ac motor speed and torque in electro-mechanical drive systems.","vfd;variable frequency drives;frequency drives","",""
"96","False","False","Android","Operating Systems","Android is a mobile operating system based on a modified version of the linux kernel and other open source software, designed for touchscreen mobile devices such as smartphones and tablets.","android development","",""
"97","False","False","Speech Recognition","AI/ML","Speech Recognition is an interdisciplinary subfield of computer science and computational linguistics which develops methodologies and technologies that enable the recognition and translation of spoken language into text by computers.","automatic speech recognition;automatic speech recognition (asr);voice recognition;speech recognition","",""
"98","False","False","Budgeting","Accounting","Budgeting is a prediction of the sales income and sales overheads that forecasts a company's total revenue for a given time period.","budgeting;financial budget;it budgeting;budget planning","",""
"99","False","False","CaseMap","Database Skills","CaseMap is a legal case management software that helps organisations track case progress and litigation processes.","casemap","",""
"100","False","False","Data Manipulation","Data Science","Data Manipulation is the practise of modifying or altering data in order to make it more understandable and structured.","data manipulation","",""
"101","False","False","Database Console Commands (DBCC)","Database Skills","Database Console Commands (DBCC) are used to verify database integrity, run maintenance operations on databases, tables, indexes, and filegroups, and gather and display data during troubleshooting.","dbcc;database console commands","",""
"102","False","False","ES2015","Programming Languages and Algorithms","ES2015 is a version of the javascript language that includes features such as classes, arrow functions, and modules.","es2015","",""
"103","False","False","Final Cut Pro","Video & Audio Production","Final Cut Pro is a collection of non-linear video editing software applications that offers the organising features of any professional video editing product. ","finalcut;final cut;final cut pro;fcp","",""
"104","False","False","Kofax","Robotic Process Automation (RPA)","Kofax is a process automation software provider that provides process management, robotic process automation, e-signature, mobility and customer communication services.","kofax","",""
"105","False","False","Lumion","Graphics Processing","Lumion is an architectural visualization tool that allows a user to build a 3D environment and create images, video presentations and live walkthroughs.","lumion","",""
"106","False","False","PostCSS","Software Development","PostCSS is a tool for modifying cascading style sheets with javascript plugins, and allows to choose tools from plugin ecosystem.","postcss","",""
"107","False","False","Sales Operations","Sales Skills","Sales Operations are the company's sales objectives, strategies, procedures, and technical support that allow key actors and processes to perform in accordance with corporate goals.","sales operations management;sales operation management;sales operations;sales operation","",""
"108","False","False","Samba","Cybersecurity","Samba is a freeware application that enables end users to access and utilise files, printers, and other shared resources over an intranet or the internet.","samba software;samba-software","",""
"109","False","False","SevOne","Network Management & Administration","SevOne is a data platform which provides digital infrastructure monitoring system.","sevone","",""
"110","False","False","SQL Server Data Tools (SSDT)","Database Skills","SQL Server Data Tools (SSDT) is a visual studio development tool used to create server relational databases, azure structured query language databases, analysis services data models, integration services packages, and reporting services reports.","ssdt;sql server data tools","",""
"111","False","False","Strata Design 3D CX","Graphic Design and Animation","Strata Design 3D CX is a commercial 3d modeling, rendering, and animation program with additional photo-real rendering and integration functionality with adobe photoshop.","strata 3d;strata design 3d cx;stratadesign 3d;strata 3d design","",""
"112","False","False","Strategy Implementation","Business Management","Strategy Implementation refers to execution of the plans and strategies to accomplish the long-term goals of an organization.","strategy implementation","",""
"113","False","False","Symmetrix","IT Management/ Governance","Symmetrix is dell emc's enterprise storage array. It was the flagship product of emc in the 199s and 2s.","symmetrix software","",""
"114","False","False","Workflow Analysis","Functional Skills","Workflow Analysis is the practise of investigating an organization's workflows in order to improve operational efficiency.","workflow analysis","",""
"115","False","False","Applied Mathematics","Statistical & Mathematical Modelling","Applied Mathematics is the application of mathematical methods in different fields such as physics, engineering, medicine, biology, business, computer science and industry.","applied mathematics;mathematics","",""
"116","False","False","Bootloader","Operating Systems","Bootloader is an operating system software that provides an interface for the user to load an applications through a standard universal serial bus cable .","bootloader;boot loader","",""
"117","False","False","Customer Relationship Management (CRM)","Customer Relationship Management","Customer relationship management (CRM) is a technology for managing all of a company's relationships and interactions with customers and potential customers.","client relationship management;customer relationship management;customer relation management (crm)","",""
"118","False","False","Draftsight","Computer-Aided Design and Simulation","Draftsight is a feature-rich 2D and 3D computer-aided design solution for architects, engineers, and construction service providers, as well as professional computer-aided design users, designers, educators, and hobbyists.","draftsight","",""
"119","False","False","FreeBSD","Operating Systems","FreeBSD is an operating system used to power modern servers, desktops, and embedded devices.","freebsd;free bsd","",""
"120","False","False","Functional Testing","Software Quality/Testing","Functional Testing is a sort of black-box software testing that relies its test cases on the requirements of the software component being tested.","functional test;functional testing","",""
"121","False","False","JRockit","Java & Associated IDEs & Frameworks","JRockit is a virtual machine that includes tools, utilities, and runtime environment for building and running java applications.","jrockit;j rockit","",""
"122","False","False","Low Level Virtual Machine (LLVM)","Software Development","Low Level Virtual Machine (LLVM) is a compiler and a toolkit for building compilers, which are programs that convert instructions into a form that can be read and executed by a computer.","llvm;low level virtual machine","",""
"123","False","False","Model Validation","Statistical & Mathematical Modelling","Model Validation is the task of confirming that the outputs of a statistical model are acceptable with respect to the real data-generating process.","model validation;statistical model validation","",""
"124","False","False","Multithreading","Operating Systems","Multithreading is the ability of a central processing unit in a computing device to concurrently provide multiple threads of execution, supported by the operating system.","multithreading;multi threading;multithreaded","",""
"125","False","False","Network Configuration Protocol (NETCONF)","Network Management & Administration","Network Configuration Protocol (NETCONF) is the standard for installing, manipulating and deleting configuration of network devices.","nconf;netconf;network configuration protocol","",""
"126","False","False","Network Load Balancing","Network Management & Administration","Network Load Balancing (NLB) is a function that distributes network traffic among servers or virtual machines in a cluster in order to prevent overloading any one host and enhance performance.","network load balancing","",""
"127","False","False","Performance Analysis","Functional Skills","Performance Analysis is a specialized field that delivers objective information to athletes and coaches to assist them to understand performance.","performance analysis","",""
"128","False","False","Query Tuning","Database Skills","SQL Tuning is the process of optimizing structured query language statement performance in order to fulfill defined, quantifiable, and realistic objectives.","query tuning;sql query tuning","",""
"129","False","False","QuickBooks","Accounting","QuickBooks is an accounting software suite that includes both on-premises and cloud-based accounting solutions.","quickbooks","",""
"130","False","False","SAP BI","Business intelligence","SAP BI is a centralized suite of analyzing tools for business intelligence  platform that provide a organization with a route to evaluating and reporting data from different heterogeneous data sources.","sap business intelligence;sap bi","",""
"131","False","False","Siebel","Customer Relationship Management","Siebel is a prominent vendor of interoperable e-business software.","siebel","",""
"132","False","False","SmartPlant","Electronic Systems Design","SmartPlant is an asset-centric, rule-driven engineering tool that may assist in creating and improving plant configurations. It maintains the integrity of engineering information across the lifecycle.","smartplant software","",""
"133","False","False","Supplier Quality","Quality Management","Supplier Quality refers to a supplier's capacity to deliver goods and services that meet the expectations of its consumers.","supplier quality","",""
"134","False","False","Threat Assessment","Cybersecurity","Threat Assessment is the process of analysing and validating potential dangers, including the possibility of their occurrence. It is often undertaken by security risk management prior to strategies for mitigating risks against the company.","threat assessment","",""
"135","False","False","RoboHelp","Web Development","Adobe RoboHelp is a help authoring tool for creating help systems, e-learning content, and knowledge bases. It is used to distribute compelling support material, e-learning resources, organisational policies, and knowledge base articles to a large audience, regardless of device form factor.","adobe robohelp","",""
"136","False","False","DNSSEC","Cybersecurity","DNSSEC is a set of internet engineering task force extension protocols for safeguarding data transferred in the domain name system on internet protocol networks.","dnssec","",""
"137","False","False","Requirements Analysis","Functional Skills","Requirements Analysis is the process of determining the needs and expectations of a new product .It includes tasks performed to determine the demands of stakeholders.","analyzing requirements;analysing requirements;requirements analysis","",""
"138","False","False","SAP Workflow","ERP Systems","SAP Workflow is a business-oriented tool that allows system,applications and product application systems to create and execute business processes.","sap workflow;sap-workflow management","",""
"139","False","False","Scala","Programming Languages and Algorithms","Scala  is a general-purpose programming language providing support for both object-oriented programming and functional programming.","scala","",""
"140","False","False","SonicWall","Cybersecurity","Sonicwall is a privately held firm that sells a variety of Internet appliances aimed mainly at access management and network protection.","sonicwall","",""
"141","False","False","Technical Writing","Content Management","Technical writing is writing or drafting technical communication used in technical and occupational field to convey information about specialized topics.","technical writing","",""
"142","False","False","Test Execution","Software Quality/Testing","Test Execution refers to the execution of test cases or test plans on a software product to confirm that the generated software product meets the pre-defined criteria and standards.","execution test cases;test execution;test case execution","",""
"143","False","False","Virtual Private Cloud","Cloud Deployment, Scaling And Management","Virtual Private Cloud is an on-demand configurable pool of shared computing resources allocated within a public cloud environment, providing a certain level of isolation between the different organizations using the resources.","virtual private cloud;virtualcloud","",""
"144","False","False","ArcCatalog","Spatial Analysis & Geographic Information Systems","ArcCatalog is a geobase administration programme whose major function is to manage geographical data and metadata.","arccatalog","",""
"145","False","False","ASP.NET","Software Development","ASP.NET is an open-source server-side web application framework for creating dynamic web pages and is used to create interactive, data-driven web applications that can be accessed through the internet.","asp.net;aspnet;.net web forms;asp net","",""
"146","False","False","Clipper (Programming Language)","Semiconductor & Embedded Systems","Clipper (Programming Language) is an xBase compiler that implements an xbase computer programming language variation. It is used to construct or expand software programmes that were initially designed to run on microsoft disk operating system.","clipper","",""
"147","False","False","CodeWarrior","Software Development","CodeWarrior is an integrated development environment for editing, compiling, and debugging software for several microcontrollers and microprocessors","codewarrior;code warrior","",""
"148","False","False","Eclipse","Software Development","Eclipse is an integrated development environment used in computer programming which contains a base workspace and an extensible plug-in system for customizing the environment.","eclipse ide","",""
"149","False","False","Hazard Analysis","Governance Risk & Compliance","Hazard analysis is the process of recognizing hazards that may arise from a system or its environment, documenting their unwanted consequences and analyzing their potential causes.","hazard analysis","",""
"150","False","False","Hudson (Software)","Software Development","Hudson is a java-based continuous integration solution that operates in a servlet container such as glassfish or apache tomcat application server.","hudson;hudson-tool;hudson-software;hudson(software)","",""
"151","False","False","JavaScript","Programming Languages and Algorithms","JavaScript is an object-oriented programming language that is used by programmers to construct dynamic and interactive online content such as programs and browsers.","java script;javascript;js javascript;jscript","",""
"152","False","False","Loan Administration","Retail & Corporate Banking ","Loan Adminstration refers to the administrative aspects of a loan in banking that includes establishing loan eligibility, monitoring loan documents, and producing reports.","loan administration","",""
"153","False","False","Markitwire","Software Development","MarkitWire is a workflow management system that allows for same-day transaction recording, legal confirmation, and workflow management.","markitwire","",""
"154","False","False","Visio","Enterprise Productivity","Visio is a diagramming and vector graphics application that includes flowcharts, building plans, floor plans, data flow diagrams, process flow diagrams","ms visio;microsoft visio;visio","",""
"155","False","False","Mobile Application Development","Mobile Development","Mobile Application Development is the process of developing software applications for mobile devices, with certain optimizations to ensure that the hardware and features are utilized","mobile app development;mobile application development","",""
"156","False","False","NVivo","Data Engineering And Analytics","NVivo is a software program for analyzing unstructured texts, audio, video and images in windows and mackintosh operating system.","nvivo;nvivo-software","",""
"157","False","False","Principal Component Analysis","AI/ML","Principal Component Analysis is a technique used to reduce the dimensionality of such datasets, boosting interpretability while minimising information loss.","principal component analysis","",""
"158","False","False","Product Selection","Supply Chain Management","Product Selection is a strategic choice that encompasses functional areas such as marketing, research and development, and senior management.","product selection","",""
"159","False","False","Signal Integrity","Electronic Systems Design","Signal Integrity is a set of quality metrics for electrical signals as it travels from the transmitter to the receiver in an electronic system.","signal integrity","",""
"160","False","False","SiteScope","Infrastructure as a Service (IaaS)","SiteScope is agentless monitoring software that focuses on the availability and performance of dispersed information technology infrastructures such as servers, network devices and services, applications and application components, operating systems, and other business components.","micro focus sitescope","",""
"161","False","False","Teamcenter","Product Lifecycle Management (PLM)","Teamcenter is a cloud-based tool for product lifecycle management. It allows users to  change product data and procedures such 3d drawings, embedded software, documentation, and bill of materials.","teamcentre;teamcenter","",""
"162","False","False","Test Analysis","Software Quality/Testing","Test Analysis can be defined as a technique of analysing or reviewing the facts that form the foundation upon which software testing is conducted","test analysis","",""
